code,year_month,month,unit_price,unit_perc_tax_substitution,Y,hc_cluster_1,hc_cluster_2,hc_cluster_3,hc_cluster_4,hc_cluster_5,hc_cluster_6,hc_cluster_7,hc_cluster_8,hc_cluster_9,kmeans_cluster_0,kmeans_cluster_1,kmeans_cluster_2,kmeans_cluster_3,kmeans_cluster_4,kmeans_cluster_5,kmeans_cluster_6,kmeans_cluster_7,kmeans_cluster_8,cat_code_0,cat_code_1,cat_code_2,cat_code_3,cat_code_4,cat_code_5,cat_code_6,cat_code_7,cat_code_8,cat_code_9,cat_code_10
0671c2b9132a3f5215a4212ce0691694,2016-11,11,205.61894126738915,11.113688820195776,664,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-12,12,245.81729906542103,7.586042056074771,225,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-01,1,216.73014492753677,3.69793880837359,211,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-02,2,206.9053125000001,2.3489983974358952,634,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-03,3,199.34232902735639,6.91888069908814,1343,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-04,4,224.46916599190192,7.313829959514161,508,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-05,5,222.68144374999883,8.128116406249978,655,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2016-08,8,132.26087962962953,11.65722222222222,58,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2016-09,9,129.5409830508473,8.228644067796608,130,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2016-10,10,130.124,4.1321666666666665,38,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2016-11,11,132.7817771084338,8.51210843373494,173,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2016-12,12,135.0294616977226,9.161770186335403,164,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2017-01,1,134.11037499999995,11.019569940476188,116,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2017-02,2,128.6,19.79,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2017-03,3,130.01922222222217,2.056666666666667,46,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2017-04,4,145.94534482758615,8.220172413793104,59,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2017-05,5,147.15609756097552,9.261798780487805,86,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ad316f6b5cb5e81ebff73ae2490ccfe,2016-10,10,239.50285714285715,2.222857142857143,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ad316f6b5cb5e81ebff73ae2490ccfe,2016-11,11,223.4447727272728,6.884545454545455,45,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ad316f6b5cb5e81ebff73ae2490ccfe,2016-12,12,229.1062000000001,7.424000000000001,51,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ad316f6b5cb5e81ebff73ae2490ccfe,2017-01,1,233.08842105263156,6.983157894736842,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ad316f6b5cb5e81ebff73ae2490ccfe,2017-02,2,199.5497297297296,3.9913513513513523,75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ad316f6b5cb5e81ebff73ae2490ccfe,2017-03,3,192.4513513513513,3.7575675675675675,38,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ad316f6b5cb5e81ebff73ae2490ccfe,2017-04,4,199.3787654320987,5.161975308641973,83,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ad316f6b5cb5e81ebff73ae2490ccfe,2017-05,5,199.75030927835047,7.274020618556699,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2016-06,6,168.0845454545455,0.0,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2016-07,7,168.75666666666666,0.0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2016-08,8,169.32400000000004,0.0,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2016-09,9,163.1957142857143,2.3771428571428572,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2016-10,10,160.605625,1.828125,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2016-11,11,161.4447999999999,1.6027999999999998,50,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2016-12,12,166.45166666666663,3.2903846153846152,46,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2017-01,1,167.0906818181818,1.5850000000000002,44,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2017-02,2,165.1026666666667,3.125333333333333,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2017-03,3,162.035,2.0733333333333333,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2017-04,4,168.48291666666668,3.421666666666667,24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2017-05,5,171.31100000000004,5.172333333333333,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0dca7ec6ba9b6e8f17f04f713a6be727,2016-10,10,69.31,0.0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0dca7ec6ba9b6e8f17f04f713a6be727,2016-11,11,70.00999999999999,0.0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
